REFERENCE,POSITION,ARTIST,TITLE,LENGTH
xx.xx.xx[placeholder15],A1,Pet Shop Boys,Can You Forgive Her ?,
xx.xx.xx[placeholder15],A2,Sting,Fields Of Gold,
xx.xx.xx[placeholder15],A3,David Bowie,Black Tie White Noise,
xx.xx.xx[placeholder15],A4,Louchie Lou & Michie One,Shout (It Out),
xx.xx.xx[placeholder15],A5,UB40,(I Can't Help) Falling In Love With You,
xx.xx.xx[placeholder15],B1,Jamiroquai,Blow Your Mind,
xx.xx.xx[placeholder15],B1,Snap,Do You See The Light,
xx.xx.xx[placeholder15],B3,Ugly Kid Joe,Busy Bee,
xx.xx.xx[placeholder15],B4,Stereo MC's,Creation,
xx.xx.xx[placeholder15],B5,Haddaway,What Is Love,
10.04.03.EURO,A1,Mel & Kim,That's The Way It Is,3:41
10.04.03.EURO,A2,George Harrison,When We Was Fab,3:35
10.04.03.EURO,A3,Billy Ocean,Get Outta My Dreams Get Into My Car,4:10
10.04.03.EURO,A4,Black,Everything's Coming Up Roses,3:30
10.04.03.EURO,A5,Dire Straits,Money For Nothing,4:09
10.04.03.EURO,B1,Eurythmics,Shame,4:04
10.04.03.EURO,B2,The Communards,Never Can Say Goodbye,3:58
10.04.03.EURO,B3,Joe Cocker,A Woman Loves A Man,3:58
10.04.03.EURO,B4,Sting,Englishman In New York,4:05
10.04.03.EURO,B5,Chris Rea,Que Sera,3:41
10.16.04.EURO,A1,Erasure,Blue Savannah,
10.16.04.EURO,A2,Roxette,Dangerous,
10.16.04.EURO,A3,Wet Wet Wet,Sweet Surrender,
10.16.04.EURO,A4,David A. Stewart & Candy Dulfer,Lily Was Here,
10.16.04.EURO,A5,Big Fun,Handful Of Promises,
10.16.04.EURO,B1,The B-52's,Love Shack,
10.16.04.EURO,B2,The Cure,Pictures Of You,
10.16.04.EURO,B3,The Police,Walking On The Moon,
10.16.04.EURO,B4,Mano Negra,King Kong Five,
10.16.04.EURO,B5,Liza Minnelli,Love Pains,
10.17.07,A1,World Party,Message In A Box,
10.17.07,A2,Joe Cocker,What Are You Doing With A Fool,
10.17.07,A3,Glenn Medeiros & Bobby Brown,She Ain't Worth It,
10.17.07,A4,Eurythmics,Angel,
10.17.07,A5,Big Country,Save Me,
10.17.07,B1,Roger Waters,Another Brick In The Wall,
10.17.07,B2,Mylène Farmer,Sans Contrefacon,
10.17.07,B3,Bob Geldof,The Great Song Of Indifference,
10.17.07,B4,Luciano Pavarotti,Nessun Dorma (World Cup'90,
10.17.07,B5,Jean-Michel Jarre,Calypso,
10.18.10.EURO [UK11],A1,The Cure,Never Enough,4:31
10.18.10.EURO [UK11],A2,MC Hammer,Have You Seen Her,4:24
10.18.10.EURO [UK11],A3,Snap!,Cult Of Snap!,3:50
10.18.10.EURO [UK11],A4,Bruce Dickinson,Dive! Dive! Dive!,3:22
10.18.10.EURO [UK11],A5,Caron Wheeler,Livin' In The Light,3:48
10.18.10.EURO [UK11],B1,Cyndi Lauper,The Wall (Live in Berlin),3:56
10.18.10.EURO [UK11],B2,Daryl Hall & John Oates,So Close,4:08
10.18.10.EURO [UK11],B3,Betty Boo,Where Are You Baby?,3:29
10.18.10.EURO [UK11],B4,Charles D. Lewis,Soca dance,3:02
